location,attributes,descrip
"Vancouver, BC","$45,000-$85,000 a year","Advanced knowledge of React/Node based Javascript Framework(s) is a must
Working knowledge of at least 1 headless CMS framework is a must
6+ years professional Typescript experience
6+ years professional Javascript experience
6+ years professional CSS experience
6+ years professional HTML experience
Experience with Figma, and Adobe Suite is preferred
WaveBI is adding a new front end developer to our growing team. Your passion for front end development and keen eye for design are your most valuable assets. You have strong knowledge of UI development, and enjoy creating an amazing UX that is better than your peers can do. You are confident in what you do, and have the ability to solve problems independently. You love what you do and are result driven.
Sound like you?
We want to know more. Send us your resume and CV today!
Job Type: Full-time
Salary: $45,000.00-$85,000.00 per year
Benefits:
On-site gym
Flexible Language Requirement:
French not required
Schedule:
8 hour shift
Day shift
Monday to Friday
On call
Weekend availability
Supplemental pay types:
Bonus pay
Experience:
CSS: 6 years (required)
HTML5: 6 years (required)
JavaScript: 6 years (required)
Headless CMS: 1 year (required)
Shift availability:
Day Shift (required)
Work Location: In person"
"Vancouver, BC","$45,000-$85,000 a year","Advanced knowledge of React/Node based Javascript Framework(s) is a must
Working knowledge of at least 1 headless CMS framework is a must
6+ years professional Typescript experience
6+ years professional Javascript experience
6+ years professional CSS experience
6+ years professional HTML experience
Experience with Figma, and Adobe Suite is preferred
WaveBI is adding a new front end developer to our growing team. Your passion for front end development and keen eye for design are your most valuable assets. You have strong knowledge of UI development, and enjoy creating an amazing UX that is better than your peers can do. You are confident in what you do, and have the ability to solve problems independently. You love what you do and are result driven.
Sound like you?
We want to know more. Send us your resume and CV today!
Job Type: Full-time
Salary: $45,000.00-$85,000.00 per year
Benefits:
On-site gym
Flexible Language Requirement:
French not required
Schedule:
8 hour shift
Day shift
Monday to Friday
On call
Weekend availability
Supplemental pay types:
Bonus pay
Experience:
CSS: 6 years (required)
HTML5: 6 years (required)
JavaScript: 6 years (required)
Headless CMS: 1 year (required)
Shift availability:
Day Shift (required)
Work Location: In person"
"Hybrid remote in Vancouver, BC",$25-$35 an hour,"Web Developer
Confidential is a fast-growing, full-service digital marketing agency based in Vancouver, BC. We are a team of experienced, passionate, and creative individuals who are dedicated to helping our clients grow their business online. Web Developer
We are looking for an experienced Web Developer to join our growing team. The ideal candidate will have a passion for building web applications and will be able to work independently as well as part of a team. You should be familiar with Wordpress, HTML, CSS, JavaScript, and backend database administration. The goal is to build web applications that meet our clients- needs by using best practices and technologies.
Duties and Responsibilities:
Design and develop websites using HTML, CSS, JavaScript, Wordpress and other front-end technologies
Build responsive websites
Write clean code using JavaScript and HTML5 Boilerplate
Create dynamic content using JQuery UI
Implement Ajax-based websites using JQuery and HTML5 Boilerplate
Create dynamic content using JQuery UI
Design user interfaces using CSS3
Maintain website by updating information on website pages with data from database or other sources (e.g., Google Analytics)
Test website by conducting functional/functional and unit/integration tests to ensure quality of website functionality
Manage project timelines by keeping project documentation up to date and ensuring deliverables meet requirements. This includes maintaining project documentation in the company-s project management system.
Education/Experience: Bachelor-s degree in Computer Science or related field or equivalent work experience in Web Development; at least 3 years of experience developing web applications; at least 2 years of experience working in a web development firm; knowledge of web development principles such as clean code, responsive design, progressive enhancement, test-driven development, etc.; knowledge of database administration principles such as SQL; knowledge of JavaScript frameworks such as jQuery; knowledge of HTML/CSS standards such as W3C specifications; knowledge of server-side technologies such as PHP/MySQL or Python/Rails).
Work Remotely - Hybrid
Job Type: Full-time
Salary: $25.00-$35.00 per hour
Benefits:
Casual dress
Dental care
Disability insurance
Employee assistance program
Extended health care
Paid time off
RRSP match
Vision care
Work from home
Flexible Language Requirement:
French not required
Schedule:
Monday to Friday
Ability to commute/relocate:
Vancouver, BC V5Y 1R3: reliably commute or plan to relocate before starting work (required)
Education:
AEC / DEP or Skilled Trade Certificate (required)
Language:
English (preferred)
Work Location: Hybrid remote in Vancouver, BC V5Y 1R3"
"Vancouver, BC","$45,000-$85,000 a year","Advanced knowledge of React/Node based Javascript Framework(s) is a must
Working knowledge of at least 1 headless CMS framework is a must
6+ years professional Typescript experience
6+ years professional Javascript experience
6+ years professional CSS experience
6+ years professional HTML experience
Experience with Figma, and Adobe Suite is preferred
WaveBI is adding a new front end developer to our growing team. Your passion for front end development and keen eye for design are your most valuable assets. You have strong knowledge of UI development, and enjoy creating an amazing UX that is better than your peers can do. You are confident in what you do, and have the ability to solve problems independently. You love what you do and are result driven.
Sound like you?
We want to know more. Send us your resume and CV today!
Job Type: Full-time
Salary: $45,000.00-$85,000.00 per year
Benefits:
On-site gym
Flexible Language Requirement:
French not required
Schedule:
8 hour shift
Day shift
Monday to Friday
On call
Weekend availability
Supplemental pay types:
Bonus pay
Experience:
CSS: 6 years (required)
HTML5: 6 years (required)
JavaScript: 6 years (required)
Headless CMS: 1 year (required)
Shift availability:
Day Shift (required)
Work Location: In person"
"Hybrid remote in Vancouver, BC",$25-$35 an hour,"Web Developer
Confidential is a fast-growing, full-service digital marketing agency based in Vancouver, BC. We are a team of experienced, passionate, and creative individuals who are dedicated to helping our clients grow their business online. Web Developer
We are looking for an experienced Web Developer to join our growing team. The ideal candidate will have a passion for building web applications and will be able to work independently as well as part of a team. You should be familiar with Wordpress, HTML, CSS, JavaScript, and backend database administration. The goal is to build web applications that meet our clients- needs by using best practices and technologies.
Duties and Responsibilities:
Design and develop websites using HTML, CSS, JavaScript, Wordpress and other front-end technologies
Build responsive websites
Write clean code using JavaScript and HTML5 Boilerplate
Create dynamic content using JQuery UI
Implement Ajax-based websites using JQuery and HTML5 Boilerplate
Create dynamic content using JQuery UI
Design user interfaces using CSS3
Maintain website by updating information on website pages with data from database or other sources (e.g., Google Analytics)
Test website by conducting functional/functional and unit/integration tests to ensure quality of website functionality
Manage project timelines by keeping project documentation up to date and ensuring deliverables meet requirements. This includes maintaining project documentation in the company-s project management system.
Education/Experience: Bachelor-s degree in Computer Science or related field or equivalent work experience in Web Development; at least 3 years of experience developing web applications; at least 2 years of experience working in a web development firm; knowledge of web development principles such as clean code, responsive design, progressive enhancement, test-driven development, etc.; knowledge of database administration principles such as SQL; knowledge of JavaScript frameworks such as jQuery; knowledge of HTML/CSS standards such as W3C specifications; knowledge of server-side technologies such as PHP/MySQL or Python/Rails).
Work Remotely - Hybrid
Job Type: Full-time
Salary: $25.00-$35.00 per hour
Benefits:
Casual dress
Dental care
Disability insurance
Employee assistance program
Extended health care
Paid time off
RRSP match
Vision care
Work from home
Flexible Language Requirement:
French not required
Schedule:
Monday to Friday
Ability to commute/relocate:
Vancouver, BC V5Y 1R3: reliably commute or plan to relocate before starting work (required)
Education:
AEC / DEP or Skilled Trade Certificate (required)
Language:
English (preferred)
Work Location: Hybrid remote in Vancouver, BC V5Y 1R3"
"Hybrid remote in Vancouver, BC",Full-time,"Your Opportunity at ARC-TERYX:As an Intermediate Web Applications Developer you develop, deploy, analyze, utilize, and maintain software, tools, applications, and information systems in order to meet the business requirements of the company in a demanding global marketplace. Your focus in this role is on web applications development for the customer facing Ecommerce websites. You have a track record of delivering projects as part of an agile team. You work with senior developers and web architects to design and understand project architectures.
This role is primarily based out of our North Vancouver office and is open to hybrid remote work. Candidates must be eligible to work in Canada.
Meet Your Future Team:
The omni channel application developer team builds arcteryx.com and outlet.arcteryx.com. We work with cross-functional agile squads to build and roll out new features, fix bugs and create an amazing online experience for our guests.
If you were the Intermediate Web Applications Developer now, here are some of the core activities you would be doing:
Developing, maintaining, supporting, and extending web and web services applications across a range of technology stacks
Helping to maintain and monitor the web servers and its assets through AWS
Following existing DevOps practices, including peer code reviews, automated testing, continuous integration & continuous deployment setup
Providing high levels of service to a diverse user base and team members alike by delivering strong, effective solutions and communicating clearly
Executing special project work as part of an Agile team
Evaluating system requirements and refine technical specifications by efficient analysis of business systems, software source code, data patterns, and existing documentation
Contributing to a team development effort by documenting your code, contributing to style guides, and working in close coordination with various team associates
Here are some of the things you could be working on in the future:
Building and delivering maintainable, high-quality software to support the growth and maintenance of a best-in-class ecommerce experience
Completely re-writing the website-s frontend in React using a shared Storybook component library deployed with Lerna
Building microservices in AWS lambda to connect and integrate across channels and systems
Pivoting our technology stack and user experiences if the need arises
Are you our next Intermediate Web Applications Developer?
You have 4+ years relevant experience with at least 2+ years- experience with full stack development in an Agile/Scrum environment
You have experience integrating with 3rd party APIs, headless CMS solutions and analytics suites
You have knowledge of Isomorphic Node.js frameworks (Next.js + React preferred)
You have experience with Node.JS bundlers and transpilers (Webpack and Babel)
You have working knowledge of JavaScript, HTML, and CSS best practices
You have experience working with cloud computing providers, container solutions, and CI/CD pipelines
You have experience writing and maintaining automated, visual-regression, or unit tests
You have proven ability to translate approved UI/UX design mock-ups to feature-rich, pixel-perfect websites and web applications
You have experience writing and maintaining automated, visual-regression, or unit tests
You have a good understanding of SEO best practices, web development best practices, web accessibility and common design patterns
You have experience integrating GraphQL
You have experience with Docker and knowledge of Micro Services concepts and architecture
You have DevOps experience with Continuous Integration (CI) and Continuous Delivery (CD)
You have experience with CDN implementation and management
You have exceptional communication, problem solving, and documentation skills
You are proactive in identifying the root cause of issues and developing solutions
You remain highly flexible and adaptable when faced with ambiguity
You are able to balance autonomy and collaboration
You inspire breakthrough thinking and continuous improvement
You seek the best (but sometimes not the easiest) solutions, with an unwavering commitment
Your passion for your work is paralleled by your passion for getting outside and living it
Equal Opportunity

Arc-teryx is committed to actively creating and fostering a culture of inclusivity where voices are heard, people are seen, and values are respected. We care about the uniqueness of our applicants, employees, and guests, and we do so in a safe space fueled by curiosity and acceptance.

Creating an inclusive workplace is connected to our core value Do Right while also having the added benefit of helping make our business better. We believe inclusion helps us to create a healthier, happier workplace, drive creativity and innovation, and reflect the communities where we operate.

All applicants, employees, and guests can expect equality of opportunity and fair treatment in alignment with our values.

Design your Purpose. Live our Values.
DISRUPTIVE EVOLUTION. Design your future through challenge, experimentation, and inspiration.
COMMIT. Set and deliver on bold objectives as we collectively raise the bar.
LIVE IT. Deepen your connection to nature and live your most purposeful life.
LEAVE IT BETTER. Create a better world, together."
"Vancouver, BC","$45,000-$85,000 a year","Advanced knowledge of React/Node based Javascript Framework(s) is a must
Working knowledge of at least 1 headless CMS framework is a must
6+ years professional Typescript experience
6+ years professional Javascript experience
6+ years professional CSS experience
6+ years professional HTML experience
Experience with Figma, and Adobe Suite is preferred
WaveBI is adding a new front end developer to our growing team. Your passion for front end development and keen eye for design are your most valuable assets. You have strong knowledge of UI development, and enjoy creating an amazing UX that is better than your peers can do. You are confident in what you do, and have the ability to solve problems independently. You love what you do and are result driven.
Sound like you?
We want to know more. Send us your resume and CV today!
Job Type: Full-time
Salary: $45,000.00-$85,000.00 per year
Benefits:
On-site gym
Flexible Language Requirement:
French not required
Schedule:
8 hour shift
Day shift
Monday to Friday
On call
Weekend availability
Supplemental pay types:
Bonus pay
Experience:
CSS: 6 years (required)
HTML5: 6 years (required)
JavaScript: 6 years (required)
Headless CMS: 1 year (required)
Shift availability:
Day Shift (required)
Work Location: In person"
"Hybrid remote in Vancouver, BC",$25-$35 an hour,"Web Developer
Confidential is a fast-growing, full-service digital marketing agency based in Vancouver, BC. We are a team of experienced, passionate, and creative individuals who are dedicated to helping our clients grow their business online. Web Developer
We are looking for an experienced Web Developer to join our growing team. The ideal candidate will have a passion for building web applications and will be able to work independently as well as part of a team. You should be familiar with Wordpress, HTML, CSS, JavaScript, and backend database administration. The goal is to build web applications that meet our clients- needs by using best practices and technologies.
Duties and Responsibilities:
Design and develop websites using HTML, CSS, JavaScript, Wordpress and other front-end technologies
Build responsive websites
Write clean code using JavaScript and HTML5 Boilerplate
Create dynamic content using JQuery UI
Implement Ajax-based websites using JQuery and HTML5 Boilerplate
Create dynamic content using JQuery UI
Design user interfaces using CSS3
Maintain website by updating information on website pages with data from database or other sources (e.g., Google Analytics)
Test website by conducting functional/functional and unit/integration tests to ensure quality of website functionality
Manage project timelines by keeping project documentation up to date and ensuring deliverables meet requirements. This includes maintaining project documentation in the company-s project management system.
Education/Experience: Bachelor-s degree in Computer Science or related field or equivalent work experience in Web Development; at least 3 years of experience developing web applications; at least 2 years of experience working in a web development firm; knowledge of web development principles such as clean code, responsive design, progressive enhancement, test-driven development, etc.; knowledge of database administration principles such as SQL; knowledge of JavaScript frameworks such as jQuery; knowledge of HTML/CSS standards such as W3C specifications; knowledge of server-side technologies such as PHP/MySQL or Python/Rails).
Work Remotely - Hybrid
Job Type: Full-time
Salary: $25.00-$35.00 per hour
Benefits:
Casual dress
Dental care
Disability insurance
Employee assistance program
Extended health care
Paid time off
RRSP match
Vision care
Work from home
Flexible Language Requirement:
French not required
Schedule:
Monday to Friday
Ability to commute/relocate:
Vancouver, BC V5Y 1R3: reliably commute or plan to relocate before starting work (required)
Education:
AEC / DEP or Skilled Trade Certificate (required)
Language:
English (preferred)
Work Location: Hybrid remote in Vancouver, BC V5Y 1R3"
"Hybrid remote in Vancouver, BC",Full-time,"Your Opportunity at ARC-TERYX:As an Intermediate Web Applications Developer you develop, deploy, analyze, utilize, and maintain software, tools, applications, and information systems in order to meet the business requirements of the company in a demanding global marketplace. Your focus in this role is on web applications development for the customer facing Ecommerce websites. You have a track record of delivering projects as part of an agile team. You work with senior developers and web architects to design and understand project architectures.
This role is primarily based out of our North Vancouver office and is open to hybrid remote work. Candidates must be eligible to work in Canada.
Meet Your Future Team:
The omni channel application developer team builds arcteryx.com and outlet.arcteryx.com. We work with cross-functional agile squads to build and roll out new features, fix bugs and create an amazing online experience for our guests.
If you were the Intermediate Web Applications Developer now, here are some of the core activities you would be doing:
Developing, maintaining, supporting, and extending web and web services applications across a range of technology stacks
Helping to maintain and monitor the web servers and its assets through AWS
Following existing DevOps practices, including peer code reviews, automated testing, continuous integration & continuous deployment setup
Providing high levels of service to a diverse user base and team members alike by delivering strong, effective solutions and communicating clearly
Executing special project work as part of an Agile team
Evaluating system requirements and refine technical specifications by efficient analysis of business systems, software source code, data patterns, and existing documentation
Contributing to a team development effort by documenting your code, contributing to style guides, and working in close coordination with various team associates
Here are some of the things you could be working on in the future:
Building and delivering maintainable, high-quality software to support the growth and maintenance of a best-in-class ecommerce experience
Completely re-writing the website-s frontend in React using a shared Storybook component library deployed with Lerna
Building microservices in AWS lambda to connect and integrate across channels and systems
Pivoting our technology stack and user experiences if the need arises
Are you our next Intermediate Web Applications Developer?
You have 4+ years relevant experience with at least 2+ years- experience with full stack development in an Agile/Scrum environment
You have experience integrating with 3rd party APIs, headless CMS solutions and analytics suites
You have knowledge of Isomorphic Node.js frameworks (Next.js + React preferred)
You have experience with Node.JS bundlers and transpilers (Webpack and Babel)
You have working knowledge of JavaScript, HTML, and CSS best practices
You have experience working with cloud computing providers, container solutions, and CI/CD pipelines
You have experience writing and maintaining automated, visual-regression, or unit tests
You have proven ability to translate approved UI/UX design mock-ups to feature-rich, pixel-perfect websites and web applications
You have experience writing and maintaining automated, visual-regression, or unit tests
You have a good understanding of SEO best practices, web development best practices, web accessibility and common design patterns
You have experience integrating GraphQL
You have experience with Docker and knowledge of Micro Services concepts and architecture
You have DevOps experience with Continuous Integration (CI) and Continuous Delivery (CD)
You have experience with CDN implementation and management
You have exceptional communication, problem solving, and documentation skills
You are proactive in identifying the root cause of issues and developing solutions
You remain highly flexible and adaptable when faced with ambiguity
You are able to balance autonomy and collaboration
You inspire breakthrough thinking and continuous improvement
You seek the best (but sometimes not the easiest) solutions, with an unwavering commitment
Your passion for your work is paralleled by your passion for getting outside and living it
Equal Opportunity

Arc-teryx is committed to actively creating and fostering a culture of inclusivity where voices are heard, people are seen, and values are respected. We care about the uniqueness of our applicants, employees, and guests, and we do so in a safe space fueled by curiosity and acceptance.

Creating an inclusive workplace is connected to our core value Do Right while also having the added benefit of helping make our business better. We believe inclusion helps us to create a healthier, happier workplace, drive creativity and innovation, and reflect the communities where we operate.

All applicants, employees, and guests can expect equality of opportunity and fair treatment in alignment with our values.

Design your Purpose. Live our Values.
DISRUPTIVE EVOLUTION. Design your future through challenge, experimentation, and inspiration.
COMMIT. Set and deliver on bold objectives as we collectively raise the bar.
LIVE IT. Deepen your connection to nature and live your most purposeful life.
LEAVE IT BETTER. Create a better world, together."
"Burnaby, BC",Full-time,"Algo Communication Products Ltd. is an innovative company developing and manufacturing unique products primarily for the business telephone industry. We are looking for a talented, energetic individual with a dedication to quality to join our team in Burnaby, B.C.
*1 Year Contract with possibility of extension*
Responsibilities:
- Design and implement automated test scripts for React web applications under various browsers
- Create detailed, comprehensive, and well-structured test plans and test cases
- Maintain and keep test scripts up-to-date while new features are being added
- Create and maintain documentation for automated test scripts
Qualifications
- BSc in Computer Science or related field, or relevant work experience in a matching position
- 3+ years of experience in QA test automation
- Professional experience with Selenium
- Experience with scripting test suites for web applications using automated testing frameworks (e.g. TestCafe, Selenium, Jest, Puppeteer, etc.)
- Experience evaluating processes and implementing best practices
- Experience with React
- Experience with various web stack-related languages (e.g. PHP, Javascript, HTML, CSS, SQL)
- Experience writing and reviewing unit and feature tests
Job Type: Full-time"
