WorkLocation,City,JobTypes,Skills,Education
In-person,"Burnside, NS",['Full-time'],"['javascript', 'css', 'html']",[]
In-person,"Shubenacadie, NS",['Full-time'],"['javascript', 'css', 'html']","[""bachelor's""]"
In-person,"Halifax, NS",['Full-time'],"['sql', 'react', 'javascript', 'css', 'html', 'api', 'git', 'restful', 'node']","[""bachelor's""]"
In-person,"Sydney, NS",['Full-time'],[],"[""bachelor's""]"
In-person,"Pictou, NS",['Internship/Co-op'],"['sql', 'html', 'php']","['university', 'college', 'certificate']"
In-person,"Halifax, NS",[],"['sql', 'javascript', 'css', 'html', 'aws', 'jquery', 'git', 'php']",[]
In-person,"Halifax, NS",['Full-time'],"['react', 'css', 'html', 'aws', 'git', 'node', ' java ', 'cloud']",[]
In-person,"Dartmouth, NS",['Full-time'],"['angular', 'api']",[]
In-person,"Halifax, NS",['Full-time'],"['css', 'html', 'figma', 'git']",['post-secondary']
Hybrid remote,"Halifax, NS",['Part-time'],"['api', 'figma', 'git']",[]
In-person,"Halifax, NS","['Full-time', 'Part-time', 'Contract']",['figma'],[]
In-person,"Halifax, NS",['Full-time'],"['figma', 'git']",[]
In-person,"Halifax, NS",['Full-time'],"['figma', 'git', 'cloud']",[]
In-person,"Halifax, NS",['Full-time'],"['figma', 'git', 'cloud']",[]
